transaction_id,timestamp,date,time,customer_id,merchant_id,merchant_category,transaction_type,payment_method,amount,amount_category,status,account_balance,hour,day_of_week,month,month_name,quarter,year
TXN00000001,2024-01-01 12:52:00,2024-01-01,12:52:00,CUST000135,MERCH000159,other,purchase,debit_card,100.46,very_large,approved,6846.96,12,Monday,1,January,1,2024
TXN00000002,2024-01-01 13:29:38,2024-01-01,13:29:38,CUST000113,MERCH000126,groceries,purchase,debit_card,45.26,medium,approved,1009.44,13,Monday,1,January,1,2024
TXN00000003,2024-01-01 18:43:50,2024-01-01,18:43:50,CUST000095,MERCH000136,transportation,purchase,debit_card,69.87,large,approved,7156.7,18,Monday,1,January,1,2024
TXN00000004,2024-01-01 19:40:30,2024-01-01,19:40:30,CUST000036,MERCH000030,utilities,purchase,credit_card,26.94,medium,approved,5523.1,19,Monday,1,January,1,2024
TXN00000005,2024-01-01 22:56:17,2024-01-01,22:56:17,CUST000109,MERCH000098,groceries,withdrawal,debit_card,92.18,large,approved,5287.01,22,Monday,1,January,1,2024
TXN00000006,2024-01-02 00:47:34,2024-01-02,00:47:34,CUST000087,MERCH000097,healthcare,purchase,credit_card,11.44,medium,approved,9898.88,0,Tuesday,1,January,1,2024
TXN00000007,2024-01-02 01:03:44,2024-01-02,01:03:44,CUST000153,MERCH000001,retail,transfer,debit_card,30.44,medium,declined,6220.19,1,Tuesday,1,January,1,2024
TXN00000008,2024-01-02 01:16:19,2024-01-02,01:16:19,CUST000149,MERCH000016,utilities,refund,credit_card,-42.68,medium,approved,8977.61,1,Tuesday,1,January,1,2024
TXN00000009,2024-01-02 03:07:11,2024-01-02,03:07:11,CUST000028,MERCH000114,gas_station,purchase,debit_card,30.87,medium,approved,9144.13,3,Tuesday,1,January,1,2024
TXN00000010,2024-01-02 03:25:04,2024-01-02,03:25:04,CUST000018,MERCH000011,transportation,purchase,debit_card,25.88,medium,approved,1104.04,3,Tuesday,1,January,1,2024
TXN00000011,2024-01-02 08:11:16,2024-01-02,08:11:16,CUST000179,MERCH000155,retail,purchase,credit_card,13.2,medium,approved,182.79,8,Tuesday,1,January,1,2024
TXN00000012,2024-01-02 08:12:27,2024-01-02,08:12:27,CUST000117,MERCH000086,restaurant,purchase,credit_card,74.03,large,approved,4409.14,8,Tuesday,1,January,1,2024
TXN00000013,2024-01-02 10:44:19,2024-01-02,10:44:19,CUST000170,MERCH000168,restaurant,purchase,credit_card,213.88,very_large,approved,7715.92,10,Tuesday,1,January,1,2024
TXN00000014,2024-01-02 14:53:24,2024-01-02,14:53:24,CUST000014,MERCH000172,transportation,purchase,debit_card,60.8,large,approved,8259.54,14,Tuesday,1,January,1,2024
TXN00000015,2024-01-02 16:07:57,2024-01-02,16:07:57,CUST000116,MERCH000070,transportation,transfer,credit_card,52.51,large,approved,7896.19,16,Tuesday,1,January,1,2024
TXN00000016,2024-01-03 05:54:06,2024-01-03,05:54:06,CUST000117,MERCH000120,groceries,purchase,credit_card,132.53,very_large,approved,4528.15,5,Wednesday,1,January,1,2024
TXN00000017,2024-01-03 06:49:15,2024-01-03,06:49:15,CUST000170,MERCH000185,entertainment,transfer,debit_card,138.56,very_large,approved,7524.64,6,Wednesday,1,January,1,2024
TXN00000018,2024-01-03 10:49:31,2024-01-03,10:49:31,CUST000020,MERCH000176,healthcare,purchase,cash,21.48,medium,approved,7215.89,10,Wednesday,1,January,1,2024
TXN00000019,2024-01-03 12:32:05,2024-01-03,12:32:05,CUST000047,MERCH000168,healthcare,transfer,credit_card,416.06,very_large,approved,3206.81,12,Wednesday,1,January,1,2024
TXN00000020,2024-01-03 16:51:03,2024-01-03,16:51:03,CUST000087,MERCH000039,restaurant,fee,debit_card,-4.1,small,approved,1770.33,16,Wednesday,1,January,1,2024
TXN00000022,2024-01-03 18:00:48,2024-01-03,18:00:48,CUST000190,MERCH000183,transportation,withdrawal,digital_wallet,33.59,medium,approved,6803.16,18,Wednesday,1,January,1,2024
TXN00000023,2024-01-03 20:39:06,2024-01-03,20:39:06,CUST000198,MERCH000001,retail,purchase,credit_card,56.38,large,approved,5722.91,20,Wednesday,1,January,1,2024
TXN00000024,2024-01-03 20:49:23,2024-01-03,20:49:23,CUST000191,MERCH000023,retail,transfer,digital_wallet,38.05,medium,approved,2210.48,20,Wednesday,1,January,1,2024
TXN00000025,2024-01-03 23:04:58,2024-01-03,23:04:58,CUST000002,MERCH000195,online_shopping,refund,debit_card,-4.49,small,approved,2839.07,23,Wednesday,1,January,1,2024
